id_news,id_cm,id_cd,id_author,id_btv
4731861,1,50,169,null
4731932,1,50,47,null
4731254,1,50,437,null
4731021,1,50,437,null
4730568,1,50,437,null
4730488,1,50,252,null
4730409,1,50,272,null
4729893,1,50,47,null
4730246,1,50,47,null
4730239,1,50,412,null
4730082,1,50,67,null
4729523,1,50,47,null
4729280,1,50,225,null
4729307,1,50,272,null
4729017,1,50,47,null
4728768,1,50,437,null
4728424,1,50,257,null
4728184,1,50,438,null
4728349,1,50,47,null
4728236,1,50,67,null
4727728,1,50,437,null
4726467,1,50,47,null
4727200,1,50,193,null
4726969,1,50,445,null
4726580,1,50,47,null
4726152,1,50,67,null
4726071,1,50,437,null
4725979,1,50,67,null
4725985,1,50,257,null
4725771,1,50,252,null
4725365,1,50,272,null
4725148,1,50,272,null
4723243,1,50,378,null
4724610,1,50,47,null
4724366,1,50,47,null
4724182,1,50,437,null
4722671,1,50,339,null
4723979,1,50,347,null
4723875,1,50,347,null
4721731,1,50,47,null
4723781,1,50,67,null
4722978,1,50,67,null
4722882,1,50,252,null
4722352,1,50,445,null
4722392,1,50,190,null
4722322,1,50,67,null
4722069,1,50,47,null
4722162,1,50,437,null
4721979,1,50,445,null
4721919,1,50,272,null
4731850,1,21,441,null
4731470,1,21,289,null
4731410,1,21,150,null
4731177,1,21,150,null
4726768,1,21,150,null
4726300,1,21,210,null
4726037,1,21,150,null
4725990,1,21,150,null
4725255,1,21,441,null
4725802,4,36,284,null
4725097,1,21,289,null
4725074,1,21,150,null
4730094,12,16,365,null
4728333,12,59,333,null
4724332,11,51,186,null
4725944,12,59,241,null
4725611,1,2,259,null
4721897,12,19,442,null
4723342,12,59,442,null
4716363,12,59,442,null
4722665,1,2,259,null
4717380,12,19,442,null
4718936,12,59,365,null
4719285,1,2,259,null
4717144,12,59,111,null
4717406,1,2,259,null
4714795,12,59,333,null
4712733,11,51,186,null
4709626,12,59,241,null
4708532,1,2,335,null
4708280,1,2,335,null
4705692,12,59,111,null
4702907,12,59,111,null
4699874,11,51,186,null
4700493,12,59,333,null
4698010,12,59,442,null
4696671,1,2,259,null
4694380,12,59,241,null
4497711,1,2,386,null
4298894,1,2,386,null
4701607,1,2,8,null
4694645,1,2,259,null
4691660,12,59,333,null
4692171,1,2,272,null
4690941,1,2,259,null
4690917,1,2,259,null
4688498,12,59,442,null
4686883,12,59,111,null
4686217,1,2,259,null
4683642,12,59,333,null
4683822,1,2,187,null
4682504,1,2,187,null
4681370,12,59,241,null
4681905,1,2,171,null
4678724,12,59,442,null
4680135,1,2,170,null
4674795,12,59,241,null
4677641,1,2,259,null
4677414,1,2,259,null
4676286,12,19,2,null
4675811,10,28,400,null
4675832,12,59,333,null
4731772,3,47,25,null
4731581,3,47,25,null
4727792,3,47,25,null
4729603,3,47,433,null
4730746,3,47,28,null
4731049,3,47,25,null
4730741,3,47,28,null
4730038,3,47,28,null
4730330,3,47,28,null
4730292,3,47,162,null
4723528,3,47,26,null
4730035,3,47,273,null
4729342,3,47,25,null
4724796,3,47,25,null
4729555,3,47,273,null
4728487,3,47,26,null
4729375,3,47,26,null
4728875,3,47,28,null
4728916,3,47,25,null
4718416,3,47,433,null
4724765,3,47,28,null
4726611,3,47,26,null
4721613,3,47,433,null
