id_news,id_cd,id_cm,id_author,id_btv
4729456,64,3,52,0
4729763,64,3,52,0
4729719,64,3,52,0
4729710,64,3,52,0
4731947,69,4,176,0
4731948,18,5,354,0
4731930,69,4,176,0
4731863,46,5,140,0
4731709,69,4,140,0
4731481,69,4,44,0
4731284,69,4,176,0
4731191,69,4,140,0
4731115,69,4,140,0
4730920,69,4,140,0
4730985,46,5,354,0
4730256,69,4,176,0
4730734,69,4,140,0
4730735,69,4,140,0
4730374,69,4,140,0
4729641,69,4,176,0
4730272,69,4,140,0
4730159,69,4,140,0
4729830,69,4,140,0
4729917,69,4,311,0
4729840,69,4,140,0
4729801,69,4,140,0
4729804,69,4,140,0
4729688,69,4,140,0
4729757,69,4,384,0
4729335,69,4,140,0
4729336,69,4,140,0
4729203,46,5,354,0
4729142,69,4,140,0
4729130,69,4,176,0
4728876,69,4,140,0
4728823,69,4,10,0
4728694,69,4,176,0
4728520,69,4,176,0
4728613,46,5,140,0
4728564,69,4,176,0
4728433,69,4,140,0
4728340,69,4,311,0
4727961,69,4,140,0
4727751,69,4,140,0
4727548,69,4,140,0
4727420,46,5,354,0
4727348,69,4,176,0
4727445,69,4,140,0
4727281,69,4,140,0
4727133,69,4,140,0
4726857,69,4,176,0
4726942,69,4,176,0
4726612,17,4,384,0
4726450,46,5,354,0
4726371,69,4,140,0
4726881,69,4,140,0
4726666,69,4,140,0
4726584,69,4,140,0
4726502,69,4,140,0
4726324,69,4,176,0
4726216,69,4,140,0
4726091,69,4,401,0
4726080,69,4,401,0
4725782,69,4,176,0
4732061,63,4,352,0
4731884,63,4,203,0
4731865,63,4,203,0
4731903,63,4,313,0
4731805,63,4,71,0
4731663,63,4,295,0
4731256,63,4,292,0
4731669,63,4,71,0
4731449,63,4,295,0
4731921,63,4,294,0
4731054,63,4,408,0
4731431,63,4,49,0
4731271,63,4,49,0
4731093,63,4,34,0
4731083,63,4,71,0
4731290,63,4,311,0
4730838,63,4,71,0
4731063,63,4,34,0
4730946,63,4,311,0
4730687,63,4,71,0
4730877,63,4,323,0
4730673,63,4,71,0
4730479,63,4,71,0
4730429,63,4,71,0
4730397,63,4,294,0
4730019,63,4,322,0
4730176,63,4,34,0
4730100,63,4,71,0
4729955,63,4,71,0
4729943,46,5,49,0
4729778,63,4,311,0
4729713,63,4,408,0
4729852,63,4,322,0
4729682,63,4,34,0
4729409,63,4,49,0
4729629,63,4,71,0
4729251,63,4,295,0
4729698,63,4,322,0
4729609,63,4,322,0
4729366,63,4,294,0
4729540,63,4,53,0
4729438,63,4,203,0
4729367,63,4,24,0
4729308,63,4,322,0
4729306,63,4,322,0
4729277,63,4,311,0
4728991,63,4,295,0
4729146,63,4,71,0
4728926,63,4,71,0
4729249,63,4,203,0
4728188,63,4,364,0
4727823,63,4,24,0
4728603,63,4,71,0
4728309,63,4,322,0
4728432,63,4,71,0
4728412,63,4,311,0
4728551,63,4,295,0
4731831,15,4,311,0
4730988,15,4,71,0
4730684,15,4,322,0
4730579,15,4,71,0
4730130,15,4,311,0
4729777,15,4,311,0
4729652,15,4,71,0
4728987,15,4,311,0
4728541,15,4,311,0
4728242,15,4,71,0
4728034,15,4,311,0
4727899,15,4,311,0
4727798,15,4,311,0
4727380,15,4,311,0
4727350,15,4,311,0
4727029,15,4,71,0
4726853,15,4,71,0
4726595,15,4,311,0
4726505,15,4,311,0
4726407,15,4,311,0
4726319,15,4,311,0
4726177,15,4,311,0
4725506,15,4,311,0
4725055,15,4,71,0
4724688,15,4,71,0
4724603,15,4,311,0
4724341,15,4,322,0
4724134,15,4,71,0
4723960,15,4,322,0
4723713,15,4,311,0
4723549,15,4,311,0
4721865,15,4,311,0
4722775,15,4,71,0
4722321,15,4,71,0
4722389,15,4,322,0
4721899,15,4,311,0
4721443,15,4,71,0
4721038,15,4,311,0
4720083,15,4,311,0
4719298,15,4,427,0
4719670,15,4,71,0
4719125,15,4,311,0
4719202,15,4,311,0
4718697,15,4,311,0
4718694,15,4,71,0
4718249,15,4,311,0
4717785,15,4,71,0
4717200,15,4,71,0
4716011,15,4,71,0
4716768,15,4,71,0
4716604,15,4,311,0
4716373,15,4,311,0
4715939,15,4,71,0
4715505,15,4,311,0
4714662,15,4,71,0
4714222,15,4,71,0
4713852,15,4,311,0
4711083,29,4,71,0
4731710,40,4,311,0
4731654,40,4,322,0
4729960,40,4,203,0
4731081,40,4,34,0
4731059,40,4,401,0
4731034,40,4,294,0
4730999,40,4,294,0
4730790,40,4,322,0
4730658,40,4,322,0
4730653,40,4,322,0
4730128,40,4,294,0
4730129,40,4,294,0
4729566,40,4,84,0
4729156,40,4,294,0
4729368,40,4,364,0
4729630,40,4,294,0
4729395,40,4,203,0
4729385,40,4,322,0
4729275,40,4,322,0
4729271,40,4,401,0
4729126,40,4,203,0
4728598,40,4,294,0
4728814,40,4,207,0
4728321,40,4,203,0
4728595,40,4,294,0
4728568,40,4,53,0
4728597,40,4,294,0
4728491,40,4,53,0
4728600,40,4,294,0
4728298,40,4,322,0
4728085,40,4,322,0
